scalerank,labelrank,namealt,nameascii,sov0name,adm0name,latitude,longitude,pop_max,rank_max,min_zoom
"8","2",,Enurmino,Russia,Russia,66.95000775060,-171.81660323300,"297","2",7.0
"8","2",,Lavrentiya,Russia,Russia,65.58326946940,-171.02499780500,"1242","3",7.0
"8","2",,Zvezdnyy,Russia,Russia,70.95658489910,-179.58997888400,"10","1",7.0
"8","2",,Mikhalkino,Russia,Russia,69.42444039330,161.48114309600,"570","2",7.0
"8","2",,Chernyakhovsk,Russia,Russia,54.63163820300,21.81085445020,"45187","7",7.0
"8","2",,Severomorsk,Russia,Russia,69.07305645670,33.42306555050,"53921","8",7.0
"8","2",,Apatity,Russia,Russia,67.57307049480,33.39304154330,"66907","8",7.0
"8","2",,Polyarnyy,Russia,Russia,69.20521893230,33.45024735390,"19200","6",7.0
"8","2",,Slantsy,Russia,Russia,59.11159730950,28.07465816110,"36209","7",7.0
"8","2",,Kolpino,Russia,Russia,59.73000917470,30.65000484080,"225801","10",7.0
"8","2",,Novozybkov,Russia,Russia,52.53481528640,31.94486120480,"43534","7",7.0
"8","2",,Dyatkovo,Russia,Russia,53.58914369620,34.33918534210,"33527","7",7.0
"8","2",,Shuya,Russia,Russia,56.85434490880,41.36428625360,"60705","8",7.0
"8","2",,Kineshma,Russia,Russia,57.46996624670,42.12997595090,"92983","8",7.0
"8","2",,Balakhna,Russia,Russia,56.49434104320,43.59438268920,"63083","8",7.0
"8","2",,Arzamas,Russia,Russia,55.39998923660,43.80000321330,"142597","9",7.0
"8","2",,Rzhev,Russia,Russia,56.25740460120,34.32745479200,"63414","8",7.0
"8","2",,Vyshnniy Volochek,Russia,Russia,57.58303428050,34.56309932330,"53800","8",7.0
"8","2",,Uglich,Russia,Russia,57.52435569170,38.33000117880,"37732","7",7.0
"8","2",,Yelets,Russia,Russia,52.58000632640,38.50001664100,"115919","9",6.1
"8","2",,Orekhovo-Zuevo,Russia,Russia,55.82001527820,38.97998734410,"140247","9",7.0
"8","2",,Klin,Russia,Russia,56.34305828770,36.69873124060,"80778","8",7.0
"8","2",,Sergiyev Posad,Russia,Russia,56.33000998850,38.17001094440,"109252","9",7.0
"8","2",,Kolomna,Russia,Russia,55.07998292960,38.78496048860,"147690","9",7.0
"8","2",,Bataysk,Russia,Russia,47.13682436020,39.74485021850,"109962","9",7.0
"8","2",,Taganrog,Russia,Russia,47.22999696770,38.91999100620,"279056","10",7.0
"8","2",,Novocherkassk,Russia,Russia,47.41995953280,40.08002355830,"166974","9",6.1
"8","2",,Kamensk Shakhtinskiy,Russia,Russia,48.33176434230,40.25179601930,"75814","8",7.0
"8","2",,Novoshakhtinsk,Russia,Russia,47.76998984690,39.91998164750,"99478","8",6.1
"8","2",,Aleksin,Russia,Russia,54.51433270170,37.09436600620,"66885","8",7.0
"8","2",,Novomoskovsk,Russia,Russia,54.09001751620,38.21998205440,"130982","9",7.0
"8","2",,Shchekino,Russia,Russia,54.01433738110,37.51428869500,"86088","8",7.0
"8","2",,Nikolayevsk,Russia,Russia,50.01610597650,45.42610550820,"16044","6",7.0
"8","2",,Shebekino,Russia,Russia,50.41435040190,36.89437821330,"45194","7",7.0
"8","2",,Gubkin,Russia,Russia,51.27434958810,37.38432246780,"272","2",6.1
"8","2",,Apsheronsk,Russia,Russia,44.46871848460,39.72872717160,"45876","7",7.0
"8","2",,Kropotkin,Russia,Russia,45.44708253890,40.58211177450,"79599","8",7.0
